EmployeeID,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager
33,Travel_Rarely,371,"Research & Development",2,3,"Life Sciences",4,45,3,1,"Research Scientist",3,3944,4306,5,Yes,11,2,6,3,2,1,2
34,Non-Travel,673,"Research & Development",11,2,Other,1,96,4,2,Developer,1,4011,8232,0,No,18,3,5,4,2,1,3
35,Travel_Rarely,1218,Sales,9,4,"Life Sciences",3,82,2,1,"Sales Representative",2,3407,6986,7,No,23,1,10,5,3,0,3
36,Travel_Rarely,419,"Research & Development",7,4,"Life Sciences",1,53,3,3,"Research Director",4,11994,21293,0,No,11,3,13,12,6,2,11
37,Travel_Rarely,391,"Research & Development",15,2,"Life Sciences",3,96,3,1,"Research Scientist",3,1232,19281,1,No,14,3,0,0,0,0,0
38,Travel_Rarely,699,"Research & Development",6,1,Medical,2,83,3,1,"Research Scientist",2,2960,17102,2,No,11,3,8,4,2,1,3
39,Travel_Rarely,1282,"Research & Development",5,3,Other,3,58,3,5,Manager,1,19094,10735,4,No,11,1,26,14,13,4,8
40,Travel_Frequently,1125,"Research & Development",16,1,"Life Sciences",2,72,1,1,"Research Scientist",2,3919,4681,1,Yes,22,4,10,10,2,6,7
41,Travel_Rarely,691,Sales,8,4,Marketing,3,48,3,2,"Sales Executive",4,6825,21173,0,No,11,3,10,9,7,4,2
42,Travel_Rarely,477,"Research & Development",7,4,Medical,1,42,2,3,"Healthcare Representative",3,10248,2094,3,No,14,3,24,22,6,5,17
43,Travel_Rarely,705,Sales,2,4,Marketing,2,83,3,5,Manager,2,18947,22822,3,No,12,3,22,2,2,2,1
44,Travel_Rarely,924,"Research & Development",2,3,Medical,3,78,3,1,Developer,3,2496,6670,4,No,11,2,7,1,1,0,0
45,Travel_Rarely,1459,"Research & Development",10,4,Other,4,41,3,2,"Healthcare Representative",3,6465,19121,2,Yes,13,3,9,4,2,1,3
46,Travel_Rarely,125,"Research & Development",9,2,Medical,4,83,2,1,Developer,1,2206,16117,1,No,13,3,10,10,0,1,8
47,Travel_Rarely,895,Sales,5,3,"Technical Degree",4,56,3,2,"Sales Representative",3,2086,3335,3,No,14,3,19,1,0,0,0
48,Travel_Rarely,813,"Research & Development",1,3,Medical,2,61,3,1,"Research Scientist",3,2293,3020,2,Yes,16,3,6,2,0,2,0
49,Travel_Rarely,1273,"Research & Development",2,2,Medical,4,72,4,1,"Research Scientist",1,2645,21923,1,No,12,3,6,5,3,1,4
50,Travel_Rarely,869,Sales,3,2,Marketing,1,86,2,1,"Sales Representative",1,2683,3810,1,Yes,14,3,3,3,2,0,2
51,Travel_Rarely,890,Sales,2,3,Marketing,4,97,3,1,"Sales Representative",3,2014,9687,1,No,13,3,2,2,2,2,2
52,Travel_Rarely,852,"Research & Development",5,4,"Life Sciences",2,82,2,1,"Research Scientist",2,3419,13072,9,Yes,14,1,6,1,1,0,0
53,Travel_Frequently,1141,Sales,1,3,"Life Sciences",3,42,4,2,"Sales Executive",2,5376,3193,2,No,19,3,10,5,3,1,3
54,Travel_Rarely,464,"Research & Development",4,2,Other,3,75,3,1,Developer,3,1951,10910,1,No,12,1,1,1,0,0,0
55,Travel_Rarely,1240,"Research & Development",2,4,"Life Sciences",4,33,3,1,Developer,2,2341,19715,1,No,13,3,1,1,0,0,0
56,Travel_Rarely,1357,"Research & Development",25,3,"Life Sciences",1,48,1,1,Developer,1,2293,10558,1,No,12,3,1,1,0,0,1
57,Travel_Frequently,994,Sales,8,3,"Life Sciences",4,37,3,3,"Sales Executive",1,8726,2975,1,No,15,1,9,9,8,1,7
58,Travel_Frequently,721,"Research & Development",1,2,Medical,3,58,3,2,Developer,3,4011,10781,1,No,23,4,12,12,8,3,7
59,Travel_Rarely,1360,"Research & Development",12,3,"Technical Degree",2,49,3,5,"Research Director",1,19545,16280,1,No,12,2,23,22,15,15,8
60,Non-Travel,1065,Sales,23,4,Marketing,2,72,3,2,"Sales Executive",1,4568,10034,0,No,20,4,10,9,5,8,7
61,Travel_Rarely,408,"Research & Development",19,2,"Life Sciences",2,73,3,1,"Research Scientist",4,3022,10227,4,No,21,4,8,1,0,0,0
62,Travel_Frequently,1211,Sales,5,4,Marketing,1,98,3,2,"Sales Executive",3,5772,20445,4,Yes,21,4,14,9,6,0,8
63,Travel_Rarely,1229,"Research & Development",8,1,"Life Sciences",4,36,4,1,Developer,3,2269,4892,1,No,19,1,1,1,0,0,1
64,Travel_Rarely,626,"Research & Development",1,2,"Life Sciences",1,98,2,3,Developer,1,5381,19294,9,Yes,13,1,23,1,0,0,0
65,Travel_Rarely,1434,"Research & Development",5,4,"Technical Degree",3,50,3,1,Developer,1,3441,11179,1,Yes,13,3,2,2,2,2,2
66,Travel_Rarely,1488,Sales,1,5,Marketing,2,75,3,2,"Sales Executive",2,5454,4009,5,Yes,21,2,9,4,3,1,3
67,Non-Travel,1097,"Research & Development",11,2,Medical,3,79,2,3,"Healthcare Representative",2,9884,8302,2,Yes,13,3,10,4,0,2,3
68,Travel_Rarely,1443,Sales,23,3,Marketing,3,47,2,2,"Sales Executive",3,4157,21436,7,Yes,19,3,5,2,2,0,0
69,Travel_Frequently,515,"Research & Development",1,2,"Life Sciences",1,98,3,3,"Research Director",3,13458,15146,1,Yes,12,3,15,15,14,8,12
70,Travel_Frequently,853,Sales,18,5,"Life Sciences",2,71,3,3,"Sales Executive",2,9069,11031,1,No,22,1,9,9,8,1,8
71,Travel_Rarely,1142,"Research & Development",23,4,Medical,3,30,3,1,Developer,2,4014,16002,3,Yes,15,3,4,2,2,2,2
72,Travel_Rarely,655,"Research & Development",7,4,"Life Sciences",4,48,3,2,Developer,3,5915,9528,3,No,22,1,10,7,7,1,7
73,Travel_Rarely,1115,"Research & Development",1,4,"Life Sciences",1,51,2,2,Developer,1,5993,2689,1,No,18,1,7,7,5,0,7
74,Travel_Rarely,427,"Research & Development",1,3,Medical,1,33,3,2,Developer,3,6162,10877,1,Yes,22,4,9,9,8,7,8
75,Travel_Frequently,653,"Research & Development",29,5,"Life Sciences",4,50,3,2,Developer,3,2406,5456,1,No,11,3,10,10,3,9,9
76,Travel_Rarely,989,"Research & Development",7,2,Medical,2,43,2,5,"Research Director",1,18740,16701,5,Yes,12,1,29,27,3,13,8
77,Travel_Rarely,1435,Sales,25,3,"Life Sciences",1,99,3,3,"Sales Executive",2,7637,2354,7,No,11,1,28,21,16,7,9
78,Travel_Rarely,1223,"Research & Development",8,3,"Technical Degree",3,59,3,3,"Healthcare Representative",1,10096,8202,1,No,13,1,17,17,14,12,8
79,Travel_Rarely,836,"Research & Development",8,3,Medical,4,33,3,4,Manager,1,14756,19730,2,Yes,14,1,21,5,0,0,2
80,Travel_Frequently,1195,"Research & Development",11,3,"Life Sciences",2,95,2,2,Developer,4,6499,22656,1,No,13,3,6,6,5,0,3
81,Travel_Rarely,1339,"Research & Development",7,3,"Life Sciences",2,59,3,3,"Research Scientist",2,9724,18787,2,No,17,2,25,1,0,0,0
82,Travel_Frequently,664,"Research & Development",1,3,Medical,2,79,3,1,"Research Scientist",2,2194,5868,4,No,13,2,5,3,2,1,2
83,Travel_Rarely,318,"Research & Development",9,3,Medical,4,79,2,1,"Research Scientist",1,3388,21777,0,Yes,17,3,2,1,0,0,0
84,Travel_Frequently,1225,Sales,1,1,"Life Sciences",1,57,2,2,"Sales Executive",1,5473,24668,7,No,11,3,20,4,3,1,3
85,Travel_Rarely,1328,"Research & Development",2,3,"Life Sciences",3,76,3,1,"Research Scientist",4,2703,4956,0,No,23,4,6,5,4,0,4
86,Travel_Rarely,1082,"Research & Development",1,4,Medical,3,87,3,1,"Research Scientist",4,2501,18775,1,No,17,1,1,1,1,1,0
87,Travel_Rarely,548,"Research & Development",1,3,"Life Sciences",2,66,3,2,"Research Scientist",4,6220,7346,1,No,17,2,10,10,4,0,9
88,Travel_Rarely,132,"Research & Development",6,3,"Life Sciences",2,55,4,1,Developer,3,3038,22002,3,No,12,3,5,1,0,0,0
89,Travel_Rarely,746,"Research & Development",8,4,"Life Sciences",3,61,3,2,Developer,3,4424,20682,1,No,23,2,11,11,7,1,8
90,Travel_Rarely,776,Sales,1,4,Marketing,3,32,2,2,"Sales Executive",2,4312,23016,0,No,14,3,16,15,13,2,8
91,Travel_Rarely,193,"Research & Development",6,4,Other,4,52,3,3,"Research Director",2,13245,15067,4,Yes,14,1,17,0,0,0,0
92,Travel_Rarely,397,"Research & Development",7,4,Medical,1,30,3,3,"Research Director",1,13664,25258,4,No,13,1,16,5,2,0,2
93,Travel_Rarely,945,HR,5,2,Medical,2,80,3,2,HR,4,5021,10425,8,Yes,22,1,16,4,2,0,2
94,Travel_Rarely,852,"Research & Development",1,1,"Life Sciences",4,55,2,2,Developer,3,5126,15998,1,Yes,12,3,10,10,8,3,0
95,Travel_Rarely,1214,"Research & Development",1,3,Medical,2,30,2,1,"Research Scientist",1,2859,26278,1,No,18,1,6,6,4,0,4
96,Travel_Rarely,111,Sales,1,2,"Life Sciences",1,70,3,3,"Sales Executive",3,10239,18092,3,No,14,2,24,1,0,1,0
97,Non-Travel,573,"Research & Development",6,3,Medical,2,79,1,2,"Research Scientist",3,5329,15717,7,Yes,12,3,17,13,11,1,9
98,Travel_Rarely,1153,"Research & Development",1,2,Medical,1,94,3,2,Developer,4,4325,17736,1,No,15,1,5,5,2,1,3
99,Travel_Rarely,1400,"Research & Development",7,3,"Life Sciences",4,49,1,3,Developer,3,7260,21698,4,No,11,3,37,6,4,0,2
100,Travel_Rarely,541,Sales,2,1,"Technical Degree",3,62,3,1,"Sales Representative",2,2322,9518,3,No,13,3,3,0,0,0,0
101,Travel_Rarely,432,"Research & Development",9,4,"Life Sciences",4,96,3,1,Developer,3,2075,18725,3,No,23,1,10,4,2,0,3
102,Travel_Rarely,288,"Research & Development",2,3,"Life Sciences",3,99,2,2,"Healthcare Representative",3,4152,15830,1,No,19,3,11,11,10,10,8
103,Travel_Rarely,669,Sales,9,2,Medical,3,64,2,3,"Sales Executive",3,9619,13596,1,No,16,3,9,9,8,4,7
104,Travel_Frequently,530,"Research & Development",1,4,"Life Sciences",3,78,2,4,"Healthcare Representative",4,13503,14115,1,No,22,4,22,22,3,11,11
105,Travel_Rarely,632,Sales,21,4,Marketing,3,71,3,2,"Sales Executive",3,5441,8423,0,Yes,22,4,11,10,7,1,0
106,Travel_Rarely,1334,Sales,4,2,Medical,3,63,2,2,"Sales Executive",4,5209,19760,1,Yes,12,3,11,11,8,2,7
107,Travel_Frequently,638,"Research & Development",1,3,Medical,3,40,2,3,"Healthcare Representative",2,10673,3142,2,Yes,13,3,21,10,9,9,5
108,Travel_Rarely,1093,Sales,6,4,Medical,2,87,3,2,"Sales Executive",1,5010,24301,1,No,16,3,12,11,8,5,7
109,Travel_Rarely,1217,"Research & Development",2,4,"Technical Degree",1,60,3,3,"Research Director",1,13549,24001,9,No,12,3,16,4,3,0,3
110,Travel_Rarely,1353,Sales,3,2,Other,1,33,3,2,"Sales Executive",1,4999,17519,0,No,21,4,4,3,2,0,2
111,Non-Travel,120,Sales,4,3,Medical,2,43,3,2,"Sales Executive",1,4221,8863,1,No,15,3,5,5,4,0,4
112,Travel_Rarely,682,Sales,10,4,Medical,4,37,3,4,"Sales Executive",1,13872,24409,0,No,13,3,38,37,10,1,8
113,Non-Travel,489,"Research & Development",23,3,Medical,2,67,3,2,Developer,4,2042,25043,4,No,12,3,17,3,2,1,2
114,Travel_Rarely,807,HR,6,4,"Human Resources",3,63,3,1,HR,2,2073,23648,4,Yes,22,4,7,3,2,0,2
115,Travel_Rarely,827,"Research & Development",1,1,"Life Sciences",4,71,3,1,"Research Scientist",2,2956,15178,1,No,13,3,1,1,0,0,0
116,Travel_Frequently,871,"Research & Development",6,3,"Life Sciences",4,66,2,1,Developer,3,2926,19783,1,Yes,18,1,1,1,0,1,0
117,Travel_Rarely,665,"Research & Development",6,4,Other,1,41,3,2,"Research Scientist",1,4809,12482,1,No,14,2,16,16,13,2,10
118,Non-Travel,1040,"Research & Development",2,2,"Life Sciences",3,100,2,2,"Healthcare Representative",3,5163,15850,5,No,14,1,17,1,0,0,0
119,Non-Travel,1420,HR,2,4,"Human Resources",3,32,2,5,Manager,3,18844,21922,9,No,21,4,30,3,2,2,2
120,Travel_Frequently,1115,"Research & Development",1,3,"Life Sciences",1,73,3,5,"Research Director",4,18172,9755,3,Yes,19,3,28,8,3,0,7
121,Travel_Rarely,240,Sales,5,3,Marketing,3,46,2,2,"Sales Executive",1,5744,26959,1,Yes,11,1,6,6,4,0,3
122,Travel_Rarely,1280,"Research & Development",7,1,Medical,4,64,2,1,"Research Scientist",3,2889,26897,1,No,11,3,2,2,2,2,1
123,Travel_Rarely,534,"Research & Development",15,3,Medical,2,59,3,1,Developer,3,2871,23785,1,No,15,3,1,0,0,0,0
124,Travel_Frequently,1456,"Research & Development",1,4,Medical,1,30,2,3,"Healthcare Representative",2,7484,25796,3,No,20,4,23,13,12,12,8
125,Travel_Frequently,658,"Research & Development",7,3,"Life Sciences",1,66,1,2,Developer,1,6074,22887,1,Yes,24,4,9,9,7,0,6
126,Non-Travel,142,HR,26,3,"Human Resources",4,30,4,4,Manager,3,17328,13871,2,Yes,12,3,23,5,3,4,4
127,Travel_Rarely,1127,"Research & Development",18,1,"Life Sciences",2,52,3,1,Developer,1,2774,13257,0,No,12,2,6,5,3,1,2
128,Travel_Rarely,1031,"Research & Development",6,4,"Life Sciences",3,45,2,2,"Research Scientist",4,4505,15000,6,No,15,2,12,1,0,0,0
129,Travel_Rarely,1189,Sales,3,3,"Life Sciences",3,87,3,3,"Sales Executive",3,7428,14506,2,No,12,3,12,5,3,1,3
130,Travel_Rarely,1354,"Research & Development",5,3,Medical,3,45,2,3,Manager,2,11631,5615,2,No,12,2,14,11,10,5,8
131,Travel_Frequently,1467,Sales,11,2,"Technical Degree",2,92,3,3,"Sales Executive",3,9738,22952,0,No,14,2,10,9,7,2,8
132,Travel_Rarely,922,"Research & Development",3,2,"Life Sciences",1,39,3,1,Developer,3,2835,2561,5,No,22,4,7,1,0,0,0
133,Travel_Frequently,394,Sales,26,2,"Life Sciences",3,92,3,4,Manager,3,16959,19494,1,Yes,12,2,25,25,12,4,12
134,Travel_Frequently,1312,"Research & Development",23,3,"Life Sciences",1,96,1,1,"Research Scientist",1,2613,22310,1,No,25,4,10,10,7,0,9
135,Non-Travel,750,Sales,22,2,Marketing,3,95,3,2,"Sales Executive",4,6146,15480,0,No,13,1,8,7,7,0,7
136,Travel_Rarely,441,"Research & Development",14,4,"Life Sciences",2,72,3,1,"Research Scientist",4,4963,4510,9,Yes,18,3,7,5,4,4,3
137,Travel_Rarely,684,"Research & Development",6,3,"Life Sciences",1,51,3,5,"Research Director",1,19537,6462,7,No,13,1,23,20,18,15,15
138,Travel_Rarely,249,Sales,6,4,"Life Sciences",2,76,1,2,"Sales Executive",1,6172,20739,4,Yes,18,1,12,7,7,7,7
139,Travel_Rarely,841,"Research & Development",6,3,Other,3,46,2,1,"Research Scientist",4,2368,23300,1,No,19,3,5,5,4,4,3
140,Travel_Rarely,147,"Research & Development",23,4,Medical,4,94,3,3,"Healthcare Representative",3,10312,3465,1,No,12,2,40,40,10,15,6
141,Travel_Rarely,528,Sales,22,1,Marketing,4,50,3,1,"Sales Representative",1,1675,26820,1,Yes,19,3,0,0,0,0,0
142,Travel_Rarely,594,"Research & Development",2,1,"Technical Degree",3,100,3,1,Developer,3,2523,19299,0,No,14,1,3,2,1,2,1
143,Travel_Rarely,470,"Research & Development",20,4,Medical,3,96,3,2,Developer,2,6567,5549,1,No,14,3,16,15,11,5,11
144,Travel_Frequently,957,"Research & Development",28,3,Medical,2,72,4,1,"Research Scientist",1,4739,16090,4,No,12,3,18,3,2,1,2
145,Travel_Frequently,809,Sales,12,3,Marketing,3,77,3,3,"Sales Executive",3,9208,6645,4,No,11,1,16,2,2,2,1
146,Travel_Rarely,542,Sales,20,3,"Life Sciences",2,71,1,2,"Sales Executive",1,4559,24788,3,Yes,11,1,4,2,2,2,2
147,Travel_Rarely,802,Sales,9,1,"Life Sciences",3,96,3,3,"Sales Executive",1,8189,21196,3,Yes,13,3,12,9,7,0,7
148,Travel_Rarely,1355,HR,25,1,"Life Sciences",3,61,3,1,HR,1,2942,8916,1,No,23,4,8,8,7,5,7
149,Travel_Rarely,216,"Research & Development",6,2,Medical,2,84,3,2,Developer,4,4941,2819,6,No,20,4,7,3,2,0,1
150,Travel_Frequently,1150,"Research & Development",8,4,"Life Sciences",1,53,1,3,Developer,3,10650,25150,2,No,15,2,18,4,2,0,3
151,Travel_Rarely,1329,Sales,4,4,"Life Sciences",4,47,2,2,"Sales Executive",1,5902,14590,4,No,14,2,17,15,11,5,9
152,Travel_Rarely,959,Sales,28,3,"Life Sciences",1,41,2,2,"Sales Executive",1,8639,24835,2,No,18,3,6,2,2,2,2
153,Travel_Rarely,1240,HR,9,3,"Human Resources",3,48,3,2,HR,3,6347,13982,0,Yes,19,3,12,11,9,4,7
154,Travel_Rarely,1033,"Research & Development",9,3,Medical,1,41,3,1,Developer,2,4200,10224,7,No,22,4,10,5,4,0,4
155,Travel_Rarely,1316,"Research & Development",29,3,Medical,3,83,3,1,"Research Scientist",3,3452,9752,5,No,13,1,9,6,5,0,3
156,Travel_Rarely,364,"Research & Development",3,5,"Technical Degree",4,32,3,2,"Research Scientist",1,4317,2302,3,Yes,20,2,19,3,2,2,2
157,Travel_Rarely,438,"Research & Development",18,3,"Life Sciences",1,75,3,1,"Research Scientist",1,2632,23910,1,No,14,3,5,5,4,0,4
158,Travel_Frequently,689,Sales,9,2,Medical,4,35,1,2,"Sales Executive",3,4668,22812,0,No,17,1,9,8,7,0,7
159,Travel_Rarely,201,"Research & Development",5,3,"Technical Degree",4,84,3,1,"Research Scientist",2,3204,10415,5,No,14,1,8,3,2,2,2
160,Travel_Rarely,1427,"Research & Development",2,1,Medical,2,35,2,1,Developer,3,2720,11162,0,No,13,1,6,5,3,1,2
161,Travel_Frequently,857,"Research & Development",10,3,"Life Sciences",4,91,2,4,Manager,2,17181,12888,4,No,13,3,21,7,6,7,7
162,Travel_Rarely,933,"Research & Development",9,4,"Life Sciences",3,94,3,1,Developer,2,2238,6961,2,No,21,4,7,5,0,1,4
163,Travel_Rarely,1181,"Research & Development",3,1,Medical,2,79,3,1,Developer,4,1483,16102,1,No,14,3,1,1,0,0,0
164,Travel_Frequently,1395,"Research & Development",26,3,Medical,2,54,3,2,"Research Scientist",4,5605,8504,1,No,11,2,20,20,7,2,13
165,Travel_Rarely,662,Sales,1,5,Marketing,3,94,3,3,"Sales Executive",4,7295,11439,1,No,13,3,10,10,8,0,6
166,Travel_Rarely,1436,Sales,6,2,Marketing,2,34,3,2,"Sales Representative",1,2306,16047,2,Yes,20,4,13,7,7,4,5
167,Travel_Rarely,194,"Research & Development",9,3,"Life Sciences",2,60,3,2,Developer,4,2348,10901,8,No,18,3,20,17,9,0,15
168,Travel_Frequently,967,Sales,8,3,Marketing,2,43,3,3,"Sales Executive",3,8998,15589,1,No,14,3,9,9,8,3,7
169,Non-Travel,1496,"Research & Development",1,1,"Technical Degree",4,41,3,2,Developer,1,4319,26283,1,No,13,1,10,10,7,0,9
170,Travel_Rarely,1169,"Research & Development",7,4,Medical,2,34,2,2,Developer,1,6132,13983,2,No,17,1,10,1,0,0,0
171,Travel_Rarely,1145,"Research & Development",9,3,Medical,2,75,2,1,"Research Scientist",4,3346,11873,4,Yes,20,4,9,1,0,0,0
172,Travel_Rarely,630,Sales,4,4,Marketing,3,67,2,3,"Sales Executive",3,10855,8552,7,No,11,3,15,12,11,2,11
173,Travel_Frequently,303,Sales,2,4,Marketing,3,75,3,1,"Sales Representative",1,2231,11314,6,No,18,3,6,4,3,1,2
174,Travel_Rarely,1256,"Research & Development",19,1,Medical,3,80,3,1,"Research Scientist",3,2323,11992,1,No,24,4,2,2,2,2,2
175,Non-Travel,691,"Research & Development",9,3,Medical,4,57,3,1,"Research Scientist",4,2024,5970,6,No,18,3,6,2,2,2,2
176,Travel_Rarely,440,"Research & Development",21,3,Medical,3,42,3,1,"Research Scientist",3,2713,6672,1,No,11,1,5,5,2,0,2
177,Travel_Rarely,334,"Research & Development",24,2,"Life Sciences",3,83,4,3,"Healthcare Representative",3,9439,23402,3,Yes,16,3,12,5,3,1,4
178,Non-Travel,1450,"Research & Development",3,3,Medical,3,79,2,1,"Research Scientist",1,2566,25326,1,Yes,15,3,1,1,1,0,1
179,Travel_Rarely,1452,"Research & Development",11,3,"Life Sciences",3,53,3,5,Manager,4,19926,17053,3,No,15,2,21,5,4,4,4
180,Travel_Rarely,465,"Research & Development",14,3,"Life Sciences",1,56,3,1,"Research Scientist",1,2451,4609,4,No,12,3,13,9,8,1,8
181,Travel_Rarely,1339,Sales,5,3,"Life Sciences",2,41,3,3,"Sales Executive",3,9419,8053,2,No,12,3,12,10,9,7,4
182,Travel_Rarely,702,Sales,1,4,"Life Sciences",1,59,2,2,"Sales Executive",3,8686,12930,4,No,22,1,12,8,3,0,7
183,Travel_Rarely,120,"Research & Development",6,5,"Life Sciences",3,43,3,1,"Research Scientist",1,3038,12430,3,No,20,4,8,5,4,1,4
184,Travel_Rarely,1157,"Research & Development",17,3,"Technical Degree",3,51,3,1,"Research Scientist",4,3058,13364,0,Yes,16,3,6,5,2,1,1
185,Travel_Frequently,602,Sales,1,1,"Technical Degree",3,100,1,1,"Sales Representative",2,2325,20989,0,No,21,1,1,0,0,0,0
186,Travel_Frequently,1480,"Research & Development",3,2,Medical,4,30,3,1,Developer,4,2088,15062,4,No,12,3,13,8,7,7,2
187,Non-Travel,111,"Research & Development",9,3,Medical,3,66,3,2,Developer,2,3072,11012,1,No,11,3,12,12,9,6,10
188,Travel_Rarely,1268,Sales,4,2,"Life Sciences",3,30,3,2,"Sales Executive",2,5006,6319,4,Yes,11,3,9,5,4,0,3
189,Travel_Rarely,713,"Research & Development",8,3,"Life Sciences",3,67,3,1,"Research Scientist",2,4257,13939,4,Yes,18,2,19,2,2,2,2
190,Travel_Rarely,134,"Research & Development",2,3,"Life Sciences",3,90,3,1,"Research Scientist",3,2500,10515,0,No,14,1,4,3,1,0,2
191,Travel_Rarely,303,"Research & Development",2,3,"Life Sciences",2,47,2,1,Developer,3,1102,9241,1,No,22,2,1,1,0,1,0
192,Travel_Rarely,526,Sales,1,2,Marketing,2,92,3,3,"Sales Executive",2,10453,2137,1,No,25,4,24,24,13,15,7
193,Travel_Rarely,1380,"Research & Development",9,2,"Life Sciences",3,75,3,1,Developer,3,2288,6319,1,No,12,2,2,2,2,2,1
194,Travel_Rarely,140,"Research & Development",12,1,Medical,3,95,3,1,"Research Scientist",3,3929,6984,8,Yes,23,2,7,4,2,0,2
195,Travel_Rarely,629,"Research & Development",27,2,Medical,4,95,3,1,"Research Scientist",4,2311,5711,2,No,15,3,9,3,2,1,2
196,Travel_Rarely,1356,Sales,20,2,Marketing,2,70,3,1,"Sales Representative",4,3140,21728,1,Yes,22,4,4,4,3,0,2
